title,link,subtitle,price,area,property_details,city,location,first_image_url,latitude,longitude,price_per_sqft
3 BHK Independent Builder Floor for rent in Sharda Nagar,,LDA Ratanlok Apartment,30000,1550.0,Semi furnished,Lucknow,Sharda Nagar,https://housing-images.n7net.in/01c16c28/1ac3b7a3d81ebb5af8652b5a15e632b2/v0/large/3_bhk_independent_builder_floor-for-rent-sharda_nagar_lucknow-Lucknow-hall.jpg,,,19.35483870967742
2 BHK Independent Builder Floor for rent in Ashiyana,,Not Found,14000,1500.0,Semi furnished,Lucknow,Ashiyana,https://housing-images.n7net.in/01c16c28/c52fb55bfae78863f062e3cf7d6ecc56/v0/large/2_bhk_independent_builder_floor-for-rent-ashiyana-Lucknow-hall.jpg,26.8668883,80.9106565,9.333333333333334
3.5 BHK Flat for rent in Gomti Nagar Extension,,Not Found,40000,1893.0,Fully furnished,Lucknow,Gomti Nagar Extension,https://housing-images.n7net.in/01c16c28/212ae164f8a06c6ee3a414575341dc9f/v0/large/3.5_bhk_apartment-for-rent-gomti_nagar_extension_1-Lucknow-hall.jpg,,,21.130480718436345
3.5 BHK Flat for rent in Sushant Golf City,,Rishita Mulberry,28000,1893.0,Semi furnished,Lucknow,Sushant Golf City,https://housing-images.n7net.in/01c16c28/8ae3513a5c91cf0183cf5b0b653aa100/v0/large/3.5_bhk_apartment-for-rent-yusufnagar-Lucknow-hall.jpg,26.7801794,81.0247541,14.791336502905441
6 BHK Penthouse for rent in Vrindavan Yojana,,Samiah Melrose Avenue,55000,3600.0,Fully furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/0a2e3822b96d944bc230f4db3ec183a7/v0/large/6_bhk_penthouse-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,15.277777777777779
4.5 BHK Villa for rent in Ashiyana,,Not Found,50000,3200.0,Fully furnished,Lucknow,Ashiyana,https://housing-images.n7net.in/01c16c28/2c551b912e893ba754be4bf58a34efaf/v0/large/4.5_bhk_villa-for-rent-ashiyana-Lucknow-hall.jpg,26.8668883,80.9106565,15.625
2 BHK Flat for rent in Vrindavan Yojana,,Not Found,19000,1560.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/523bde02704108accba754565813b544/v0/large/2_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,12.179487179487179
3 BHK Villa for rent in Ashiyana,,Not Found,25000,1935.0,Semi furnished,Lucknow,Ashiyana,https://housing-images.n7net.in/01c16c28/32188332a93c84a575cfb4b85ac7b5f9/v0/large/3_bhk_villa-for-rent-ashiyana-Lucknow-hall.jpg,26.8668883,80.9106565,12.919896640826874
2 BHK Independent House for rent in LDA Colony,,Not Found,17000,1800.0,Semi furnished,Lucknow,LDA Colony,https://housing-images.n7net.in/01c16c28/015a02fe9ffb1b1538ba32b53d5f78f3/v0/large/2_bhk_independent_house-for-rent-lda_colony_lucknow-Lucknow-hall.jpg,26.7845433,80.8905154,9.444444444444445
3 BHK Flat for rent in Sector A,,Ansal Celebrity Greens Tower L And M Phase 3,35000,1700.0,Fully furnished,Lucknow,Sector A,https://housing-images.n7net.in/01c16c28/4429d4b2d2f6e99d7cd00d6bba75f88c/v0/large/3_bhk_apartment-for-rent-sector_a_uttar_pradesh-Lucknow-hall.jpg,26.9112986,80.9440956,20.58823529411765
2 BHK Flat for rent in Vrindavan Yojana,,Eldeco Saubhagyam Phase 2,20000,1355.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/bcbbd7961e12469696b1cd2b06ab76f5/v0/large/2_bhk_apartment-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,14.760147601476016
3 BHK Independent House for rent in LDA Colony,,Not Found,25000,1800.0,Semi furnished,Lucknow,LDA Colony,https://housing-images.n7net.in/01c16c28/343f08da7ffe82691241f927ae64af13/v0/large/3_bhk_independent_house-for-rent-lda_colony_lucknow-Lucknow-hall.jpg,26.7845433,80.8905154,13.88888888888889
3 BHK Independent House for rent in Krishna Nagar,,Not Found,25000,1935.0,Semi furnished,Lucknow,Krishna Nagar,https://housing-images.n7net.in/01c16c28/1b5c2ab1a19d09c01e429f3ea43b7d50/v0/large/3_bhk_independent_house-for-rent-krishna_nagar_alambagh-Lucknow-hall.jpg,26.794391,80.891762,12.919896640826874
2 BHK Independent Builder Floor for rent in Vrindavan Yojana,,Not Found,16000,1560.0,Semi furnished,Lucknow,Vrindavan Yojana,https://housing-images.n7net.in/01c16c28/5bd0646f3f861b7e0d6774a573252338/v0/large/2_bhk_independent_builder_floor-for-rent-vrindavan_yojna-Lucknow-hall.jpg,,,10.256410256410257
2.5 BHK Independent Builder Floor for rent in Telibagh,,Not Found,18000,1500.0,Semi furnished,Lucknow,Telibagh,https://housing-images.n7net.in/01c16c28/ad50f190728e942c288b51c744b7de90/v0/large/2.5_bhk_independent_builder_floor-for-rent-telibagh-Lucknow-hall.jpg,26.7778063,80.9429644,12.0
