title,link,subtitle,price,area,property_details
3 BHK Independent Builder Floor for rent in Ashiyana,https://housing.com/rent/16310308-2000-sqft-3-bhk-independent-floor-on-rent-in-ashiyana-lucknow,Not Found,"₹30,000",2000 sq.ft,Fully furnished
2 BHK Independent Builder Floor for rent in Transport Nagar,https://housing.com/rent/16310381-1505-sqft-2-bhk-independent-floor-on-rent-in-transport-nagar-lucknow,Not Found,"₹15,000",1505 sq.ft,Semi furnished
3 BHK Independent House for rent in Ashiyana,https://housing.com/rent/16234840-1600-sqft-3-bhk-independent-house-on-rent-in-ashiyana-lucknow,Not Found,"₹26,500",1600 sq.ft,Fully furnished
3 BHK Independent House for rent in Ashiyana,https://housing.com/rent/16235148-2152-sqft-3-bhk-independent-house-on-rent-in-ashiyana-lucknow,Not Found,"₹21,000",2152 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Ashiyana,https://housing.com/rent/16235421-1935-sqft-3-bhk-independent-floor-on-rent-in-ashiyana-lucknow,Not Found,"₹20,000",1935 sq.ft,Semi furnished
3 BHK Independent Builder Floor for rent in Vrindavan Yojana,https://housing.com/rent/16236784-1700-sqft-3-bhk-independent-floor-on-rent-in-vrindavan-yojna-lucknow,Not Found,"₹35,000",1700 sq.ft,Fully furnished
3 BHK Flat for rent in Mohammadpur Chauki,https://housing.com/rent/16024393-1550-sqft-3-bhk-apartment-on-rent-in-mohammadpur-chauki-lucknow,Shalimar Mannat,"₹16,000",1550 sq.ft,Semi furnished
3.5 BHK Flat for rent in Gomti Nagar Extension,https://housing.com/rent/16717022-1800-sqft-3.5-bhk-apartment-on-rent-in-gomti-nagar-extension-lucknow,Rohtas Plumeria Homes,"₹40,000",1800 sq.ft,Fully furnished
3 BHK Flat for rent in Rajendra Nagar,https://housing.com/rent/16682393-2000-sqft-3-bhk-apartment-on-rent-in-rajendra-nagar-lucknow,Shri Balaji BCC Vision Apartment,"₹35,000",2000 sq.ft,Semi furnished
3 BHK Flat for rent in Vrindavan Yojana,https://housing.com/rent/16686396-1425-sqft-3-bhk-apartment-on-rent-in-vrindavan-yojna-lucknow,Azeagaia Azea Botanica,"₹27,000",1425 sq.ft,Semi furnished
3 BHK Flat for rent in Krishna Nagar,https://housing.com/rent/16160026-1600-sqft-3-bhk-apartment-on-rent-in-krishna-nagar-lucknow,Not Found,"₹30,000",1600 sq.ft,Fully furnished
