title,link,subtitle,price,area,property_details,city,location,first_image_url
3 BHK Flat for rent in Sector 137,https://housing.com/rent/16051411-1654-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,38000,1654 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/63fd240dbe667fcc567f01e22525ee5c/v0/large/3_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/17153500-1270-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paramount Floraville,28000,1270 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/a0ee7e1cf0ab5a8be835e711bfef7954/v0/large/2_bhk_apartment-for-rent-sector_137-Kulesara-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/15998119-1202-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,35000,1202 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/979f1ca46dbf7caebe190ff7d3c4740c/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 150,https://housing.com/rent/17128654-1395-sqft-3-bhk-apartment-on-rent-in-sector-150-noida,ACE Parkway,40000,1395 sq.ft,Semi furnished,Noida,Sector 150,https://housing-images.n7net.in/01c16c28/fc83d1610fac468b9923367dff10d263/v0/large/3_bhk_apartment-for-rent-sector_150-Noida-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/16938969-1265-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Paras Tierea,38000,1265 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/6bac8f7c6260cc27e1a1e2c4d0123f23/v0/large/3_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/14824905-1045-sqft-2-bhk-apartment-on-rent-in-sector-137-noida-v2,Logix Blossom County,26000,1045 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/4fa87f204044cd0879878c8960dd847d/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/17142755-1315-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Paramount Floraville,23000,1315 sq.ft,Un-furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/6a1de6ec395c37ca3d1f7bc5107c6218/v0/large/3_bhk_apartment-for-rent-sector_137-Kulesara-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/17120350-1425-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Paramount Floraville,30000,1425 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/f7c49f8ca78c31eb13d93c634fe2cf6c/v0/large/3_bhk_apartment-for-rent-sector_137-Kulesara-living_room.jpg
2 BHK Flat for rent in Sector 150,https://housing.com/rent/17120407-1100-sqft-2-bhk-apartment-on-rent-in-sector-150-noida,Tata Eureka Park,24500,1100 sq.ft,Semi furnished,Noida,Sector 150,https://housing-images.n7net.in/01c16c28/e58dc7e3b33a523d55d71db213ae89f9/v0/large/2_bhk_apartment-for-rent-sector_150-Noida-living_room.jpg
4 BHK Flat for rent in Sector 137,https://housing.com/rent/16956735-1968-sqft-4-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,48000,1968 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/5e1c1e12e76f44ddb98f81d0b9e5484e/v0/large/4_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2.5 BHK Flat for rent in Sector 137,https://housing.com/rent/16956392-1418-sqft-2.5-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,32000,1418 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/d25b9534011845e1946a78dd8121935b/v0/large/2.5_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 74,https://housing.com/rent/17130110-1082-sqft-2-bhk-apartment-on-rent-in-sector-74-noida,Supertech Cape Town,26500,1082 sq.ft,Semi furnished,Noida,Sector 74,https://housing-images.n7net.in/01c16c28/5dd79df9d2d82114a755dc995dedb6ef/v0/large/2_bhk_apartment-for-rent-sector_74_noida-Noida-living_room.jpg
2.5 BHK Flat for rent in Sector 74,https://housing.com/rent/17130198-1150-sqft-2.5-bhk-apartment-on-rent-in-sector-74-noida,Supertech Cape Town,27000,1150 sq.ft,Semi furnished,Noida,Sector 74,https://housing-images.n7net.in/01c16c28/bd07bb8633a6243c533ee19b6017a84e/v0/large/2.5_bhk_apartment-for-rent-sector_74_noida-Noida-living_room.jpg
3 BHK Flat for rent in Sector 74,https://housing.com/rent/17130270-1295-sqft-3-bhk-apartment-on-rent-in-sector-74-noida,Supertech Cape Town,32000,1295 sq.ft,Semi furnished,Noida,Sector 74,https://housing-images.n7net.in/01c16c28/ea1605975922f217056621934bb99e02/v0/large/3_bhk_apartment-for-rent-sector_74_noida-Noida-living_room.jpg
2 BHK Flat for rent in Sector 74,https://housing.com/rent/17130016-930-sqft-2-bhk-apartment-on-rent-in-sector-74-noida,Supertech Cape Town,26000,930 sq.ft,Semi furnished,Noida,Sector 74,https://housing-images.n7net.in/01c16c28/80bb8370d572f970eb0f3383cb805e7b/v0/large/2_bhk_apartment-for-rent-sector_74_noida-Noida-living_room.jpg
1 BHK Flat for rent in Sector 137,https://housing.com/rent/14728125-495-sqft-1-bhk-apartment-on-rent-in-sector-137-noida,Ajnara Daffodil,24000,495 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/5a69b4deae5ce516e44234b396cd02c5/v0/large/1_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 143,https://housing.com/rent/16968801-1340-sqft-3-bhk-apartment-on-rent-in-sector-143-noida,Gulshan Ikebana,30000,1340 sq.ft,Semi furnished,Noida,Sector 143,https://housing-images.n7net.in/01c16c28/2d1552a899e845768742cbc9c7938e6f/v0/large/3_bhk_apartment-for-rent-sector_143-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16956846-1045-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Paramount Floraville,27000,1045 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/66d679b9c68f4421ab267d9afef1f73a/v0/large/2_bhk_apartment-for-rent-sector_137-Kulesara-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/17120216-1685-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Paramount Floraville,34000,1685 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/179934256b669724bf0444c49f3906e9/v0/large/3_bhk_apartment-for-rent-sector_137-Kulesara-living_room.jpg
2 BHK Flat for rent in Sector 143B,https://housing.com/rent/17040588-1150-sqft-2-bhk-apartment-on-rent-in-sector-143b-noida,Sikka Karnam Greens,29000,1150 sq.ft,Fully furnished,Noida,Sector 143B,https://housing-images.n7net.in/01c16c28/c60576a4373e49ebbe13be32a68b83b1/v0/large/2_bhk_apartment-for-rent-sector_143b-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16047554-1040-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,36000,1040 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/bc5c5c566f67e3683be42e11ce15039d/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/16047676-1758-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,38000,1758 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/1a90592ff6afb0c8c19d989bdef18027/v0/large/3_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
2 BHK Flat for rent in Sector 137,https://housing.com/rent/16047895-945-sqft-2-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,35000,945 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/1ebed01e756460e4fd37ea66c518caf9/v0/large/2_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
4 BHK Flat for rent in Sector 137,https://housing.com/rent/16002926-2494-sqft-4-bhk-apartment-on-rent-in-sector-137-noida,Logix Blossom County,74000,2494 sq.ft,Fully furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/93a38cc1c88ac977737a2b6acb595fc7/v0/large/4_bhk_apartment-for-rent-sector_137-Noida-living_room.jpg
3 BHK Flat for rent in Sector 137,https://housing.com/rent/17120137-1270-sqft-3-bhk-apartment-on-rent-in-sector-137-noida,Paramount Floraville,27000,1270 sq.ft,Semi furnished,Noida,Sector 137,https://housing-images.n7net.in/01c16c28/e718676182b74e766fbf605533052495/v0/large/3_bhk_apartment-for-rent-sector_137-Kulesara-living_room.jpg
